TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
br_ServiceDetail,ServiceDetailID,No,,,,
br_ServiceDetail,ChargeID,No,,,,
br_ServiceDetail,PatientID,Yes,PATIENT_ID,,,
br_ServiceDetail,VisitID,Yes,ENCOUNTER_ID,,,
br_ServiceDetail,ProcedureMasterID,No,,,,
br_ServiceDetail,CurrUserID,No,,,,
br_ServiceDetail,RevisionUserID,No,,,,
br_ServiceDetail,CareProviderID,No,,,,
br_ServiceDetail,LocationID,No,,,,
br_ServiceDetail,PracticeLocationID,No,,,,
br_ServiceDetail,RenderingProviderID,No,,,,
br_ServiceDetail,ReferringProvID,No,,,,
br_ServiceDetail,VoidServiceDetailID,No,,,,
br_ServiceDetail,AccidentStateID,No,,,,
br_ServiceDetail,AccidentTypeID,No,,,,
br_ServiceDetail,ClaimDetailNum,No,,,,
br_ServiceDetail,PostingDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,Charge,Yes,MASK,Charge,,
br_ServiceDetail,NumberOfDaysOrUnits,No,,,,
br_ServiceDetail,FromDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,ToDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,PlaceOfServiceID,No,,,,
br_ServiceDetail,TypeOfService,No,,,,
br_ServiceDetail,ProcedureCode,No,,,,
br_ServiceDetail,EPSDTInd,No,,,,
br_ServiceDetail,EMGInd,No,,,,
br_ServiceDetail,COBInd,No,,,,
br_ServiceDetail,DeductibleAmount,Yes,MASK,DeductibleAmount,,
br_ServiceDetail,IsBilled,No,,,,
br_ServiceDetail,CreateClaim,No,,,,
br_ServiceDetail,SuspendAR,No,,,,
br_ServiceDetail,EmplRelatedFlag,No,,,,
br_ServiceDetail,AutoAccFlag,No,,,,
br_ServiceDetail,AutoAccidentState,No,,,,
br_ServiceDetail,AccRespFlag,No,,,,
br_ServiceDetail,OtherAccident,No,,,,
br_ServiceDetail,ResubmitClaim,No,,,,
br_ServiceDetail,HospAdmitDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,HospDischDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,DisabilityFromDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,DisabilityToDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,SymptomDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,SimilarDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,RevisionDateTime,Yes,DATE_OFFSET,,,
br_ServiceDetail,CurrDateTime,Yes,DATE_OFFSET,,,
br_ServiceDetail,OverridePrintExclusion,No,,,,
br_ServiceDetail,BillableToPatient,No,,,,
br_ServiceDetail,Amended,No,,,,
br_ServiceDetail,StatementDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,StatementSuppressionDays,No,,,,
br_ServiceDetail,ExcludeStatement,No,,,,
br_ServiceDetail,BalanceCalcMethod,No,,,,
br_ServiceDetail,UseExclusion,No,,,,
br_ServiceDetail,CoPayAmtApplied,Yes,MASK,CoPayAmtApplied,,
br_ServiceDetail,ResponsibilityDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,Diag1,No,,,,
br_ServiceDetail,Diag2,No,,,,
br_ServiceDetail,Diag3,No,,,,
br_ServiceDetail,Diag4,No,,,,
br_ServiceDetail,Mod1,No,,,,
br_ServiceDetail,Mod2,No,,,,
br_ServiceDetail,Mod3,No,,,,
br_ServiceDetail,Mod4,No,,,,
br_ServiceDetail,BatchID,No,,,,
br_ServiceDetail,OrderDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,LastSeen,Yes,DATE_OFFSET,,,
br_ServiceDetail,IgnoreRenderingOverride,No,,,,
br_ServiceDetail,ProcedureAmount,Yes,MASK,ProcedureAmount,,
br_ServiceDetail,GlobalPeriod,No,,,,
br_ServiceDetail,NDCQty,No,,,,
br_ServiceDetail,RxNumber,No,,,,
br_ServiceDetail,InitialTxDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,NonCoveredCharge,Yes,MASK,NonCoveredCharge,,
br_ServiceDetail,WorkRVU,Yes,MASK,WorkRVU,,
br_ServiceDetail,MalPracticeRVU,Yes,MASK,MalPracticeRVU,,
br_ServiceDetail,NonFacPERVU,Yes,MASK,NonFacPERVU,,
br_ServiceDetail,FacPERVU,Yes,MASK,FacPERVU,,
br_ServiceDetail,GPCILocalityID,No,,,,
br_ServiceDetail,NationalConversionFactor,No,,,,
br_ServiceDetail,ChargeScheduleID,No,,,,
br_ServiceDetail,ProcedureMasterAmount,Yes,MASK,ProcedureMasterAmount,,
br_ServiceDetail,UserChargeOverride,No,,,,
br_ServiceDetail,ChargeScheduleAmount,Yes,MASK,ChargeScheduleAmount,,
br_ServiceDetail,Diag1_ICD10,No,,,,
br_ServiceDetail,Diag2_ICD10,No,,,,
br_ServiceDetail,Diag3_ICD10,No,,,,
br_ServiceDetail,Diag4_ICD10,No,,,,
br_ServiceDetail,ResubmitCharge,Yes,MASK,ResubmitCharge,,
br_ServiceDetail,IsEnableGCode,No,,,,
br_ServiceDetail,GCodeID,No,,,,
br_ServiceDetail,OverrideAUCChargeEdit,No,,,,
br_ServiceDetail,GCodeServiceDetailID,No,,,,
